entry_datetime,entry_price,exit_datetime,exit_price
2010-05-24 11:00:00,2932,2010-05-25 13:45:00,2836
2010-07-09 14:00:00,2668,2010-07-15 09:45:00,2646
2010-07-19 14:45:00,2710,2010-08-05 14:45:00,2842
2010-08-16 14:45:00,2950,2010-08-20 10:45:00,2950
2010-09-06 13:45:00,2988,2010-09-09 13:00:00,2954
2010-10-08 09:15:00,2982,2010-11-12 13:30:00,3412
2010-12-13 13:30:00,3252,2010-12-20 11:00:00,3256
2011-01-31 11:15:00,3092,2011-02-09 09:30:00,3076
2011-02-14 10:45:00,3198,2011-02-22 11:15:00,3192
2011-03-07 09:30:00,3318,2011-03-10 09:45:00,3334
2011-03-23 13:00:00,3280,2011-03-29 14:15:00,3286
2011-04-08 13:30:00,3364,2011-04-12 14:15:00,3340
2011-06-24 13:30:00,3038,2011-07-12 14:45:00,3068
2011-08-26 09:15:00,2908,2011-08-30 14:15:00,2836
2011-09-21 13:30:00,2772,2011-09-22 13:00:00,2718
2011-10-26 13:15:00,2678,2011-11-02 09:30:00,2670
2011-11-03 09:45:00,2772,2011-11-09 11:15:00,2718
2012-01-09 14:45:00,2378,2012-01-13 13:00:00,2402
2012-01-18 09:30:00,2504,2012-03-23 13:00:00,2580
2012-04-12 14:15:00,2564,2012-04-17 11:00:00,2564
2012-04-20 14:45:00,2644,2012-04-24 09:30:00,2612
2012-05-02 13:15:00,2700,2012-05-04 10:45:00,2690
2012-05-29 11:15:00,2620,2012-06-04 09:30:00,2584
2012-09-07 13:15:00,2350,2012-09-11 10:15:00,2312
2012-09-27 14:30:00,2280,2012-10-25 13:00:00,2318
2012-12-05 11:00:00,2214,2013-02-21 13:15:00,2614
2013-03-20 14:00:00,2608,2013-03-26 09:30:00,2602
2013-04-19 13:15:00,2520,2013-04-23 09:45:00,2504
2013-05-17 14:00:00,2570,2013-05-24 13:15:00,2566
2013-05-28 14:45:00,2624,2013-06-04 10:15:00,2570
2013-07-05 13:30:00,2198,2013-07-08 09:30:00,2130
2013-07-11 09:45:00,2220,2013-07-12 14:15:00,2268
2013-08-02 09:30:00,2264,2013-08-16 10:00:00,2304
2013-09-09 09:30:00,2372,2013-09-17 14:45:00,2442
