entry_datetime,entry_price,exit_datetime,exit_price
2014-01-22 10:15:00,2234,2014-01-27 09:45:00,2236
2014-02-11 13:30:00,2282,2014-02-18 14:15:00,2280
2014-03-24 09:30:00,2140,2014-04-18 09:30:00,2198
2014-05-12 11:15:00,2164,2014-05-19 09:45:00,2102
2014-05-26 10:00:00,2154,2014-05-28 09:30:00,2130
2014-06-30 10:30:00,2158,2014-07-09 14:15:00,2140
2014-07-22 13:45:00,2186,2014-07-23 14:15:00,2182
2014-07-24 10:30:00,2214,2014-10-27 09:30:00,2386
2014-10-29 13:15:00,2472,2014-11-07 14:30:00,2496
